set_code,set_name,printed_set_abbrev,db_card_print_id,db_number,db_name,db_variant_key,classification,reason
A1,Genetic Apex,,0679702d-b599-42ac-beb4-2102217be047,206,Eevee,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,081f94a6-5cc3-42bd-b594-2d8845f17cba,264,Marowak ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,09e6f011-b538-4434-b96f-c092a341ae83,091,Bruxish,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,0bada096-fe01-4fb5-a735-cf3ce388eeee,160,Mienfoo,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,01421694-bea5-4b16-b6c8-0bd99e62dabd,134,Swoobat,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,1689879f-7ee4-435b-a2e4-46f3b065fbdc,245,Pidgeot,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,6bf486b9-b0c3-4783-ab80-ebb24dd17ed2,190,Raticate,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,073d20fb-eb1b-4bcf-a8e6-8d579db587f7,280,Charizard ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,2082d104-d232-4c32-ad82-5edcead4c372,009,Kakuna,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,4855a73f-131e-447e-a3d6-41a940345d17,242,Golbat,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,7d070141-0b79-490e-a86c-58befa2da99b,252,Exeggutor ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,92a9d624-2a71-4fa4-9110-9617d664991d,129,Mewtwo ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,acabafa4-b749-4ffb-8adb-09575a9e87f3,139,Diglett,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,2e2c8455-141b-4c42-ba86-26b4ade464c6,279,Wigglytuff ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,f2710386-30fc-480b-adbf-d4ade3879904,126,Mr. Mime,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,f024ffb3-cdf9-4544-962e-82556a3aca36,174,Grimer,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,4828a61d-79ac-4801-9724-8816e11b901b,157,Rhydon,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,24453cb0-1257-4593-9cf4-adcc35bd046c,202,Chansey,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,4c75e9cb-95ef-48cb-975c-5b224586a953,228,Gloom,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,7cc38987-65b7-46ed-b351-6b97225709b0,231,Rapidash,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,50410b48-34e9-4fd0-a3ca-209562a12e8c,232,Squirtle,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,6c2151f2-f9c6-49f9-9632-a0faefded3b8,237,Slowpoke,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,61987d51-0326-4ba2-bf82-3ae2dc48c984,004,Venusaur ex,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,a93fd6a9-45b0-43a7-931d-3c0c025f961e,005,Caterpie,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,7ce11e7b-5c8d-446a-b602-ad29e8f90a89,006,Metapod,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,36d172c5-7c29-4ba3-8822-1a04dd46cb51,008,Weedle,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,fc4dbc39-965d-4d98-8e61-51bf4798ded1,238,Diglett,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,74dfea61-3892-452d-9a63-e98c87dd0e19,010,Beedrill,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,ebeb6b35-5914-4360-a51a-8ec7c18202db,012,Gloom,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,6cefc327-7cff-44de-8c46-808048220681,267,Misty,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,92fd3d7e-1180-408b-ba75-71aed0763f57,013,Vileplume,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,89aca008-6ec7-4cc6-a678-3985495d5475,014,Paras,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,5a31bd62-26bf-4b53-a4c8-aa34fb7f29bf,268,Blaine,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,57517d0c-0af1-45ff-ac60-8aeb72258171,269,Koga,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,09678943-b99b-4839-bb1f-88957999a1f4,271,Brock,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,500ed7f9-7404-4d04-8071-3141bf342453,273,Lt. Surge,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,b587a52b-9bcc-4965-908b-f53a6bfca93b,007,Butterfree,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,a996fe8e-9bc1-4370-9f11-668f86b51509,011,Oddish,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,51a78496-f136-4e9d-b091-4b3beeb93412,017,Venomoth,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,2de39b93-7b6f-446b-a12f-c18feecfacb9,021,Exeggcute,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,b037adca-1e6a-413a-a952-9bdf261fe8e5,029,Petilil,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,d746f16c-22ca-42e2-bd76-f70cecc62378,033,Charmander,base,domain_not_comparable,digital_only_excluded
A1,Genetic Apex,,14bfe1fc-076d-4988-8ef9-2d0130b855bb,041,Arcanine ex,base,domain_not_comparable,digital_only_excluded
