set_code,set_name,printed_set_abbrev,page_base,page_url,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
base1,Base Set,BS,Base Set,https://bulbapedia.bulbagarden.net/wiki/Base_Set_%28TCG%29,73/102,Imposter Professor Oak,Base Set,Rare},bulbapedia_row_missing_in_db
base3,Fossil,FO,Fossil,https://bulbapedia.bulbagarden.net/wiki/Fossil_%28TCG%29,1 - 15/62,All Holofoils,Additional cards,Cosmos Holofoil unknown release},bulbapedia_row_missing_in_db
base3,Fossil,FO,Fossil,https://bulbapedia.bulbagarden.net/wiki/Fossil_%28TCG%29,16 - 62/62,All Non Holofoils,Additional cards,"©1999-2000 Non Holofoil Australian exclusive release (""Red logo"" booster packs) }",bulbapedia_row_missing_in_db
base3,Fossil,FO,Fossil,https://bulbapedia.bulbagarden.net/wiki/Fossil_%28TCG%29,None,Mew,Mystery of the Fossils,Rare Holo},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,001/053,Sewaddle,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,002/053,Swadloon,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,003/053,Leavanny,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,004/053,Cottonee,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,005/053,Whimsicott,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,017/053,Cubchoo,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,018/053,Beartic,Black Collection,R},bulbapedia_row_missing_in_db
