set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,db_set_code_other,db_set_name_other,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,0a303ba4-8399-4cc5-92aa-86f93b30e1d1,5,Alomomola,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,9d525166-7d3b-47b1-a47f-79ce540958db,12,Audino,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,145e55ad-18f6-4e34-9f48-35016a99181c,6,Blitzle,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,67af1303-61b8-4c9d-ab7b-6945d9ee6d5a,8,Sandile,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,dee0019e-a8be-4166-852d-c4d1244c2eaa,1,Snivy,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,56d5efc2-2f7c-4391-8399-dd6fa1ac7077,3,Tepig,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,9f036814-4aa9-4c4b-936d-459e540d9235,4,Oshawott,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,01cbadb9-57eb-484c-bca2-48633054390b,2,Maractus,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,ac89408c-fa32-409e-a9a2-5c2561a23f31,7,Munna,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,74d5524d-e3ce-4662-a207-3bc0841dd4e9,9,Zorua,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,46611b76-e289-40d8-9fd6-c6190bb295f7,10,Klink,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2011bw,Macdonald's Collection 2011,MCD,McDonald's Collection,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_%28TCG%29,ccdf518c-f3fd-4c09-a4da-6c22bc2a7963,11,Pidove,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2012bw,Macdonald's Collection 2012,MCD,McDonald's Collection 2012,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2012_%28TCG%29,21e7e6e4-e0ab-417f-9e23-f3dd4ebd4287,4,Pignite,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
