set_code,set_name,printed_set_abbrev,db_count,bulbapedia_count,matched_count,missing_in_db_count,extra_in_db_count,variant_mismatch_count,ambiguous_manual_review_count,domain_not_comparable_count,status
2011bw,Macdonald's Collection 2011,MCD,12,0,0,0,0,0,0,0,partial_match
2012bw,Macdonald's Collection 2012,MCD,12,0,0,0,0,0,0,0,partial_match
2014xy,Macdonald's Collection 2014,MCD,12,0,0,0,0,0,0,0,partial_match
2015xy,Macdonald's Collection 2015,MCD,12,0,0,0,0,0,0,0,partial_match
2016xy,Macdonald's Collection 2016,MCD,12,0,0,0,0,0,0,0,partial_match
2017sm,Macdonald's Collection 2017,MCD,12,0,0,0,0,0,0,0,partial_match
2018sm,Macdonald's Collection 2018,MCD,12,0,0,0,0,0,0,0,partial_match
2019sm,Macdonald's Collection 2019,MCD,12,0,0,0,0,0,0,0,partial_match
2021swsh,Macdonald's Collection 2021,MCD,25,0,0,0,0,0,0,0,partial_match
A1,Genetic Apex,,286,0,0,0,0,0,0,286,not_comparable
A1a,Mythical Island,,86,0,0,0,0,0,0,86,not_comparable
A2,Space-Time Smackdown,,207,0,0,0,0,0,0,207,not_comparable
A2a,Triumphant Light,,96,0,0,0,0,0,0,96,not_comparable
A2b,Shining Revelry,,111,0,0,0,0,0,0,111,not_comparable
A3,Celestial Guardians,,239,0,0,0,0,0,0,239,not_comparable
A3b,Eevee Grove,,107,0,0,0,0,0,0,107,not_comparable
A4,Wisdom of Sea and Sky,,241,0,0,0,0,0,0,241,not_comparable
A4a,Secluded Springs,,105,0,0,0,0,0,0,105,not_comparable
B1,Mega Rising,,331,0,0,0,0,0,0,331,not_comparable
base1,Base Set,BS,102,217,0,1,0,0,0,0,missing_rows_in_db
base2,Jungle,JU,64,117,0,0,0,0,0,0,partial_match
base3,Fossil,FO,62,123,0,3,0,0,0,0,missing_rows_in_db
base4,Base Set 2,B2,130,131,0,0,0,0,0,0,partial_match
base5,Team Rocket,TR,83,152,0,0,0,0,0,0,partial_match
base6,Legendary Collection,LC,110,0,0,0,0,0,0,0,partial_match
basep,Wizards Black Star Promos,PR,53,55,47,0,0,0,0,0,partial_match
bog,Best of game,BOG,9,0,0,0,0,0,0,0,partial_match
bp,Best of Game,BP,9,23,7,0,0,0,0,0,partial_match
bw1,Black & White,BLW,115,270,0,30,0,0,0,0,missing_rows_in_db
bw10,Plasma Blast,PLB,105,202,0,0,0,0,0,0,partial_match
bw11,Legendary Treasures,LTR,120,255,0,15,0,0,0,0,missing_rows_in_db
bw2,Emerging Powers,EPO,98,110,0,0,0,0,0,0,partial_match
bw3,Noble Victories,NVI,102,197,0,0,0,0,0,0,partial_match
