set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,eb674b46-43a6-43c2-b874-ab47a54df992,BW96,Tornadus-EX,,BW96,Tornadus-EX,BW Black Star Promos,Legendary Treasures Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,,,,,BW96,Tornadus-EX,BW Black Star Promos,Legendary Treasures Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival,BW Black Star Promos,2013 World Championships},canonical_identity_present_but_variant_cardinality_or_lane_differs
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,,,,,BW95,Champions Festival,BW Black Star Promos,2013 World Championships},missing_db_variant_for_existing_canonical_identity
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,15a8b1d9-5374-43cb-92ee-bba53f681065,BW75,Metagross,,BW75,Metagross,BW Black Star Promos,Plasma Freeze Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,,,,,BW75,Metagross,BW Black Star Promos,Plasma Freeze Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,4b8a06b2-3448-427b-9e33-f62f72161e76,BW84,Porygon-Z,,BW84,Porygon-Z,BW Black Star Promos,Plasma Blast Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,,,,,BW84,Porygon-Z,BW Black Star Promos,Plasma Blast Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,1d89261d-4cf6-40a1-a049-58e9e6112904,BW53,Flygon,,BW53,Flygon,BW Black Star Promos,Boundaries Crossed Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,,,,,BW53,Flygon,BW Black Star Promos,Boundaries Crossed Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
