queue_index,description_id,gv_id,name,branch,current_review_status,image_source_key,quality_flags,reviewer_decision,reviewer_notes
"1","2952230d-c5c3-4955-a115-b85b73440367","GV-PK-JPN-M5-118","Mega Darkrai ex","Pokemon","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-118/3c39521edbd6bc65.png","potential_interpretive_claim;potential_interpretive_mood_language;potential_purpose_or_lore_interpretation;potential_speculative_setting_language","",""
"2","2aa2410a-283d-443a-8014-540c0ef37467","GV-PK-JPN-M5-112","Mega Zeraora ex","Pokemon","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-112/4b729df49a1b2a6c.png","potential_canonical_metadata_in_visual_output;potential_interpretive_claim;potential_unsupported_personality_or_species_interpretation","",""
"3","2e399c6b-e682-43e0-a392-112831a83ad2","GV-PK-JPN-L1BSS-070","Rainbow Energy","Energy","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-l1-bss/gv-pk-jpn-l1bss-070/c2168c45d39587c9f40456d5.webp","potential_abstract_shape_literalization;potential_interpretive_mood_language;potential_purpose_or_lore_interpretation","",""
"4","388c464d-437e-4375-8b18-213ed4ec3080","GV-PK-JPN-M5-108","Misty's Vitality","Trainer","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-108/c2ae693d7c91ad0f.png","potential_interpretive_claim;potential_semantic_tag_nonvisual_concept","",""
"5","6305edaa-64bb-42d4-a1f1-dd147b1958f3","GV-PK-JPN-M5-074","リトライバッジ","Item / Tool / Supporter","needs_review","warehouse-derived/self-hosted-images-v1/jpn-m5/074.png","potential_speculative_setting_language","",""
"6","69dbaa7d-ac21-4687-9264-bc93bc7c9829","GV-PK-JPN-M5-096","Mega Zeraora ex","Pokemon","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-096/3473e720d6ea1f0a.png","potential_canonical_metadata_in_visual_output;potential_dramatic_inferred_action_language;potential_metadata_or_identity_language;potential_unsupported_personality_or_species_interpretation","",""
"7","6bf75d47-2abd-42fd-af70-d561614bbc6a","GV-PK-JPN-SM1PLUS-069","Basic Grass Energy","Energy","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-sm1/gv-pk-jpn-sm1plus-069/87645afb64fd9f796d1caa57.webp","potential_canonical_metadata_in_visual_output","",""
"8","7de2b199-53a6-4592-95e0-43f8dc9faa79","GV-PK-JPN-S6A-100","Turffield Stadium","Stadium","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-s6a/gv-pk-jpn-s6a-100/fb0ad39ea0b7108528c22f7d.webp","potential_interpretive_claim;semantic_tags_metadata_or_generic_removed","",""
"9","834a8dae-47da-492e-892f-87da82519323","GV-PK-JPN-PMCG6-085","Cinnabar City Gym","Stadium","pending","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-pmcg6/gv-pk-jpn-pmcg6-085/4d4cda38152f4a1a55cd0468.png","","",""
"10","83abe845-c0c8-41fc-8a88-d483b842197f","GV-PK-JPN-M5-072","古びたたての化石","Item / Tool / Supporter","needs_review","warehouse-derived/self-hosted-images-v1/jpn-m5/072.png","potential_creature_language_on_non_pokemon_branch;potential_interpretive_claim;potential_interpretive_mood_language;potential_purpose_or_lore_interpretation","",""
"11","8564da32-ed1e-42e4-a053-52468460b1d8","GV-PK-JPN-M5-109","Gladion's Final Battle","Trainer","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-109/662336a16971e32f.png","potential_interpretive_claim;potential_semantic_tag_nonvisual_concept;potential_unsupported_personality_or_species_interpretation","",""
