review_bucket,evidence_class,gv_id,card_print_id,listing_count,seller_count,median_active_ask,minimum_active_ask,maximum_active_ask,max_to_median_ratio,trimmed_band_ratio,flags,warning_flags,sample_title_1,sample_price_1,sample_url_1,sample_title_2,sample_price_2,sample_url_2
review_required_contamination,slab,GV-PK-BASE1-1-1999-2000,38eb357c-736c-4d24-a56c-55b34447cb13,75,47,305.99,28,7905.99,25.84,27.57,"[""candidate_exclusion_flags_present""]",[],1999 Pokemon Base Set Alakazam Holo #1/102 PSA 3 VG WOTC,49.99,https://www.ebay.com/itm/127924266885?_skw=Pokemon+%22Alakazam%22+1&hash=item1dc8e16785:g:t1wAAeSwyxBqMHxh,ALAKAZAM 1999 Pokemon Base Set RARE Holo POK├ëMON 1/102,55,https://www.ebay.com/itm/226165154779?_skw=Pokemon+%22Alakazam%22+1&hash=item34a87e63db:g:GIAAAOSwUIRmVPwU&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGb6SpnPsVOiNJOIEydRfkcUtzH6I0JtZcaNHDYkZkJlR%2BMLtyiP3gosanRLGQAXQ0bP92SKjaI58s4yfNPd39jobm2RrjfDNt18PPEi7RGOVI%2BE9MpA19EykTPZYUPLYuza0gdy6D5wPD56N0RIC%2FhPywCgJPfv8%2BmkVLoFJ3%2Brm%2Fpnqsxr%2B8qsrVCbPnAi1iETXZOueftQ5P0xqt7ZsYLqOLkhVjxkCQvJBHqdfrdWIsoxw0T3o%2F3FmaTCj7SI4p2oCk51ovmOyayAnhn1892aNjuT6oOCcbEIn%2Ff3L8HSjg%3D%3D
review_required_contamination,slab,GV-PK-BASE1-1-FIRST-EDITION,a25593f0-3d52-40c8-9a0c-e13d65663413,26,19,960.5,28,250000,260.28,46.16,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",1999 Pokemon Base Set 1st Edition Holo Alakazam 1/102 SAG 6,400,https://www.ebay.com/itm/318320711386?_skw=Pokemon+%22Alakazam%22+%22Base+Set+1st+Edition%22+%221%22&hash=item4a1d6496da:g:RM4AAeSwJy5qCq6f,1999 POKEMON BASE SET 1ST EDITION #1 ALAKAZAM-HOLO CGC 5,754.99,https://www.ebay.com/itm/188501906025?_skw=Pokemon+%22Alakazam%22+%22Base+Set+1st+Edition%22+%221%22&hash=item2be396d269:g:5DAAAeSwvTFqLAq8
review_required_contamination,slab,GV-PK-BASE1-1-SHADOWLESS,3fc82fab-b103-4336-a795-670d01985242,45,33,306.99,28,7999.99,26.06,43.65,"[""candidate_exclusion_flags_present""]",[],1999 POKEMON BASE SET SHADOWLESS #1 ALAKAZAM-HOLO PSA 3,95.99,https://www.ebay.com/itm/307008573683?_skw=Pokemon+%22Alakazam%22+%22Base+Set+Shadowless%22+%221%22&hash=item477b2310f3:g:xXQAAeSwDDxqMxgg,Pokemon Alakazam Base Set Shadowless Holo Rare #1 PSA 3,99,https://www.ebay.com/itm/318293306231?_skw=Pokemon+%22Alakazam%22+%22Base+Set+Shadowless%22+%221%22&hash=item4a1bc26b77:g:WXcAAeSwFG1qA6w4
review_required_contamination,slab,GV-PK-BASE1-10-1999-2000,4e4df92f-ffd6-4f83-85c4-3ee81a6b8e96,173,119,425,25,48984.96,115.26,25.61,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",2025 Pokemon Mega Evolution Dream Mewtwo 063/193 TCC Graded Gem Mint 10,25,https://www.ebay.com/itm/157755055900?_skw=Pokemon+%22Mewtwo%22+10&hash=item24baef1f1c:g:y9wAAeSwON5ptg7s,2022 Pokemon Mewtwo VSTAR S10b Pokemon Go 031/071 AGS Legendary 10  Clean Slab,33.99,https://www.ebay.com/itm/318422694832?_skw=Pokemon+%22Mewtwo%22+10&hash=item4a2378bbb0:g:dfcAAeSwSyNqJZ5S&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYbpIb8eEmRdCszfIWkupXTg2DeehQpD0dQeOTn%2F8%2BFPB%2F2ydP%2F528u%2Bthdt1gYkSYb%2FelbCk6DQJ2WiDrUYUuG44BZZ85Xiq39wwU%2Fs60IzPptWLv%2BhoV7xzhjVbvCHETJjbOczGK%2Bu4eBhvLd67Iwi3Ukk0pPDH9yVq8z5LdOsqILGE1uHTuX3x3NfA5edga4COi%2Fm%2B8x4E3puXYWXS%2FlgYizdUs2Rm2SMqZ64N6nSUW6Jb%2Filz6JZH3p4xVyU%2BIywZD88ybBm6394qSUn8HZ4DhDPoLKH4BuDUxacIYJ1w%3D%3D
review_required_contamination,slab,GV-PK-BASE1-10-FIRST-EDITION,27f7345f-c75e-4190-a0ed-378d5f1600a8,50,42,714.48,33.99,99999.99,139.96,48.37,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",CGC 6.5 Mewtwo 1999 Base Set 1st Edition 10/102 Holo Pokemon Card,1000,https://www.ebay.com/itm/187806302644?_skw=Pokemon+%22Mewtwo%22+%22Base+Set+1st+Edition%22+%2210%22&hash=item2bba20c1b4:g:LGkAAeSwsDRpMJ6V,1999 POKEMON BASE SET 1ST EDITION #10 MEWTWO-HOLO PSA 1,1505.99,https://www.ebay.com/itm/298404803172?_skw=Pokemon+%22Mewtwo%22+%22Base+Set+1st+Edition%22+%2210%22&hash=item457a4ff264:g:XxwAAeSwSeNqKmID
review_required_contamination,slab,GV-PK-BASE1-10-SHADOWLESS,02c1147c-3914-4b4a-a1d6-8d620e633e9b,43,33,400,33.99,20005.99,50.01,13.93,"[""candidate_exclusion_flags_present""]",[],1999 POKEMON BASE SET SHADOWLESS #10 MEWTWO-HOLO PSA 2,85,https://www.ebay.com/itm/198343030025?_skw=Pokemon+%22Mewtwo%22+%22Base+Set+Shadowless%22+%2210%22&hash=item2e2e2a7509:g:n14AAeSwTWJp2qFX,1999 Pokemon Base Set Shadowless Mewtwo Holo Rare 10/102 PSA 4,100,https://www.ebay.com/itm/377172614823?_skw=Pokemon+%22Mewtwo%22+%22Base+Set+Shadowless%22+%2210%22&hash=item57d13d5ea7:g:3UAAAeSw7kpp~y6p
review_required_contamination,slab,GV-PK-BASE1-11-1999-2000,8df4d1f6-46f5-47cc-b480-6afd30cb7e2b,53,40,125,24.48,39999.99,320,62.6,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",POKEMON BASE SET 2 NIDOKING HOLO 11/130 WOTC 2000 EX Fresh PSA 5,39.99,https://www.ebay.com/itm/358519002832?_skw=Pokemon+%22Nidoking%22+11&hash=item537965d6d0:g:DesAAeSwq55p-PFz,PSA 5 1999 Pokemon TCG Base Set Nidoking Holo Rare 11/102 English Graded,40,https://www.ebay.com/itm/168492307525?_skw=Pokemon+%22Nidoking%22+11&hash=item273aec9445:g:4OMAAeSwF0pqPZjh
review_required_contamination,slab,GV-PK-BASE1-11-FIRST-EDITION,71fc0402-a798-4b39-b148-d1fc2e516c5a,32,21,654.75,39.98,250000,381.83,52.79,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",1999 😺 CGC 3.5 Nidoking Base Set 1st Edition 11/102 Holo Pokemon,48.22,https://www.ebay.com/itm/327105759491?_skw=Pokemon+%22Nidoking%22+%22Base+Set+1st+Edition%22+%2211%22&hash=item4c2905c903:g:xoYAAeSwn8tp38VF,CGC 4 Nidoking 1999 Base Set 1st Edition 11/102 Holo Pokemon Card ,250,https://www.ebay.com/itm/326516535531?_skw=Pokemon+%22Nidoking%22+%22Base+Set+1st+Edition%22+%2211%22&hash=item4c05e6f0eb:g:3F4AAeSwW4hn7wfp
review_required_contamination,slab,GV-PK-BASE1-12-1999-2000,4168d1d8-e7c6-495d-9b2d-dacc7c2815a4,52,34,205.38,24.99,39999.99,194.76,19.89,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio""]",1999 Pokemon Game #12 Ninetales-Holo Base Set 1999-2000 4th Print PSA 4,120,https://www.ebay.com/itm/267601529235?_skw=Pokemon+%22Ninetales%22+%22Base+Set+1999-2000%22+%2212%22&hash=item3e4e4b4993:g:BG8AAOSwLjtnizYL,1999 POKEMON BASE SET 1999-2000 #12 NINETALES-HOLO PSA 8,210.76000000000002,https://www.ebay.com/itm/117132921177?_skw=Pokemon+%22Ninetales%22+%22Base+Set+1999-2000%22+%2212%22&hash=item1b45aa8959:g:BeUAAeSwkuFp1tiE
review_required_contamination,slab,GV-PK-BASE1-12-FIRST-EDITION,e7f9f059-ddc0-45e5-8caa-b14bfc7e8610,30,17,1480.99,50,250000,168.81,116.23,"[""candidate_exclusion_flags_present""]","[""extreme_max_to_median_ratio"",""wide_trimmed_band_ratio""]",1999 POKEMON BASE SET 1ST EDITION #12 NINETALES-HOLO PSA 2,405.99,https://www.ebay.com/itm/298447461727?_skw=Pokemon+%22Ninetales%22+%22Base+Set+1st+Edition%22+%2212%22&hash=item457cdadd5f:g:x0IAAeSwSzBqDynN,1999 POKEMON BASE SET 1ST EDITION #12 NINETALES-HOLO PSA 4,506.21000000000004,https://www.ebay.com/itm/278116118904?_skw=Pokemon+%22Ninetales%22+%22Base+Set+1st+Edition%22+%2212%22&hash=item40c1033178:g:RKoAAeSwY5FqOboa
