timestamp,set_code,source,page,imported,status
2025-09-05T14:07:24,base1,tcgplayer,1,101,OK
2025-09-05T14:07:33,base2,tcgplayer,1,16,OK
2025-09-05T14:07:39,base3,tcgplayer,1,15,OK
2025-09-05T14:07:54,base4,tcgplayer,1,130,OK
2025-09-05T14:08:00,base5,tcgplayer,1,18,OK
2025-09-05T14:08:39,base6,tcgplayer,1,110,OK
2025-09-05T14:08:51,basep,tcgplayer,1,51,OK
2025-09-05T14:08:51,bp,tcgplayer,1,9,OK
2025-09-05T14:09:37,bw1,tcgplayer,1,115,OK
2025-09-05T14:09:52,bw10,tcgplayer,1,105,OK
2025-09-05T14:10:34,bw11,tcgplayer,1,140,OK
2025-09-05T14:10:37,bw2,tcgplayer,1,98,OK
2025-09-05T14:11:25,bw3,tcgplayer,1,102,OK
2025-09-05T14:11:51,bw4,tcgplayer,1,103,OK
2025-09-05T14:12:04,bw5,tcgplayer,1,111,OK
2025-09-05T14:12:08,bw6,tcgplayer,1,128,OK
2025-09-05T14:12:21,bw7,tcgplayer,1,153,OK
2025-09-05T14:13:18,bw8,tcgplayer,1,138,OK
2025-09-05T14:13:28,bw9,tcgplayer,1,122,OK
2025-09-05T14:13:31,bwp,tcgplayer,1,99,OK
2025-09-05T14:13:42,cel25,tcgplayer,1,25,OK
2025-09-05T14:13:47,cel25c,tcgplayer,1,0,ERROR
2025-09-05T14:14:00,sv6,tcgplayer,1,226,OK
2025-09-05T14:14:07,UNCAT,tcgplayer,1,0,OK
